zone,timestamp,gesture_pred,ground_truth,case_id,pos_x,pos_y
2,1764351518.7717454,FIST,FIST,3,854,1306
2,1764351519.2893841,FIST,FIST,3,873,1338
2,1764351519.805156,FIST,FIST,3,881,1369
2,1764351520.3070061,FIST,FIST,3,891,1433
2,1764351520.8200188,FIST,FIST,3,1012,1493
2,1764351521.3425677,FIST,FIST,3,1183,1517
2,1764351521.8544881,FIST,FIST,3,1352,1514
2,1764351522.377337,FIST,FIST,3,1431,1515
2,1764351522.8885503,FIST,FIST,3,1485,1522
2,1764351523.400102,FIST,FIST,3,1526,1505
2,1764351523.913188,FIST,FIST,3,1584,1480
2,1764351524.4165044,FIST,FIST,3,1642,1418
2,1764351524.931249,FIST,FIST,3,1638,1323
2,1764351525.446868,PALM,FIST,4,1632,1257
2,1764351525.9651077,FIST,FIST,3,1533,1256
2,1764351526.4690316,FIST,FIST,3,1518,1271
2,1764351526.9745693,FIST,FIST,3,1442,1246
2,1764351527.4758697,FIST,FIST,3,1375,1217
2,1764351527.9933941,FIST,FIST,3,1275,1196
2,1764351528.5094717,FIST,FIST,3,1174,1190
2,1764351529.0137434,FIST,FIST,3,1134,1239
2,1764351529.520667,FIST,FIST,3,1141,1298
2,1764351530.0378602,FIST,FIST,3,1105,1398
2,1764351530.5385027,FIST,FIST,3,1074,1510
2,1764351531.0427296,FIST,FIST,3,1166,1520
2,1764351531.5480936,FIST,FIST,3,1272,1534
2,1764351532.070866,FIST,FIST,3,1438,1547
2,1764351532.572154,FIST,FIST,3,1558,1521
2,1764351533.0860183,FIST,FIST,3,1476,1520
2,1764351543.4930289,,FIST,6,,
2,1764351544.0015569,,FIST,6,,
2,1764351544.5220902,,FIST,6,,
2,1764351545.0326958,,FIST,6,,
2,1764351545.5509238,,FIST,6,,
2,1764351546.0648627,FIST,FIST,3,1090,1322
2,1764351546.575955,FIST,FIST,3,1103,1346
2,1764351547.0893874,FIST,FIST,3,1119,1342
2,1764351547.5965989,FIST,FIST,3,1169,1349
2,1764351548.1015878,FIST,FIST,3,1203,1342
2,1764351548.6178093,FIST,FIST,3,1220,1338
2,1764351549.1402907,FIST,FIST,3,1261,1347
2,1764351549.6549416,FIST,FIST,3,1338,1362
2,1764351550.163697,FIST,FIST,3,1376,1359
2,1764351550.683659,FIST,FIST,3,1423,1357
2,1764351551.2042525,FIST,FIST,3,1472,1374
3,1764351561.5823982,PALM,PALM,2,480,1376
3,1764351562.1005614,PALM,PALM,2,474,1369
3,1764351562.610342,PALM,PALM,2,480,1367
3,1764351563.1219227,PALM,PALM,2,453,1349
3,1764351563.6334627,PALM,PALM,2,502,1383
3,1764351564.14183,PALM,PALM,2,501,1406
3,1764351564.6448896,PALM,PALM,2,579,1394
3,1764351565.1582744,PALM,PALM,2,756,1402
3,1764351565.658633,PALM,PALM,2,867,1438
3,1764351566.1757245,PALM,PALM,2,892,1395
3,1764351566.6922147,PALM,PALM,2,877,1351
3,1764351567.208005,PALM,PALM,2,777,1261
3,1764351567.7216532,PALM,PALM,2,696,1216
3,1764351568.2340164,PALM,PALM,2,636,1198
3,1764351568.7482727,PALM,PALM,2,523,1169
3,1764351569.2605693,PALM,PALM,2,492,1164
3,1764351569.764452,PALM,PALM,2,459,1180
3,1764351570.2796485,PALM,PALM,2,490,1224
3,1764351570.7841468,PALM,PALM,2,464,1261
3,1764351571.291721,PALM,PALM,2,469,1324
3,1764351571.801031,PALM,PALM,2,447,1405
3,1764351572.3089435,PALM,PALM,2,471,1436
3,1764351572.8245482,PALM,PALM,2,484,1470
3,1764351573.3313093,PALM,PALM,2,541,1482
3,1764351573.8480196,PALM,PALM,2,515,1474
3,1764351574.3653193,PALM,PALM,2,626,1485
3,1764351574.87802,PALM,PALM,2,765,1470
3,1764351575.3811789,PALM,PALM,2,873,1357
3,1764351575.8846881,PALM,PALM,2,909,1247
3,1764351576.3877017,PALM,PALM,2,848,1175
3,1764351576.906342,PALM,PALM,2,805,1200
3,1764351577.4209929,PALM,PALM,2,769,1262
3,1764351577.9349513,PALM,PALM,2,745,1340
3,1764351578.4519835,PALM,PALM,2,749,1372
3,1764351578.953981,PALM,PALM,2,732,1403
3,1764351579.4705079,PALM,PALM,2,733,1454
3,1764351584.0267296,,FIST,6,,
3,1764351584.5400386,FIST,FIST,3,602,1369
3,1764351585.0512462,FIST,FIST,3,623,1318
3,1764351585.5582778,FIST,FIST,3,599,1303
3,1764351586.0642333,FIST,FIST,3,585,1314
3,1764351586.5761132,FIST,FIST,3,597,1301
3,1764351587.090136,FIST,FIST,3,505,1258
3,1764351587.5916939,FIST,FIST,3,449,1218
3,1764351588.0973384,FIST,FIST,3,387,1227
3,1764351588.612051,FIST,FIST,3,419,1269
3,1764351589.116878,FIST,FIST,3,519,1204
3,1764351589.6398482,FIST,FIST,3,669,1136
3,1764351590.1510408,FIST,FIST,3,827,1167
3,1764351590.654715,FIST,FIST,3,884,1263
3,1764351591.1664047,FIST,FIST,3,896,1394
3,1764351591.6723928,FIST,FIST,3,850,1459
3,1764351592.1800137,FIST,FIST,3,835,1508
3,1764351592.701733,FIST,FIST,3,809,1534
3,1764351593.2298183,FIST,FIST,3,721,1503
3,1764351593.7443247,FIST,FIST,3,578,1436
3,1764351594.2600594,FIST,FIST,3,448,1442
3,1764351594.7651508,,FIST,6,,
3,1764351595.2652981,,FIST,6,,
3,1764351595.7717211,,FIST,6,,
3,1764351596.2790759,,FIST,6,,
3,1764351596.7808926,,FIST,6,,
3,1764351597.2937064,,FIST,6,,
3,1764351602.1883912,FIST,FIST,3,412,1451
3,1764351602.6958,FIST,FIST,3,449,1388
3,1764351603.2001987,FIST,FIST,3,456,1351
3,1764351603.7054644,FIST,FIST,3,455,1332
3,1764351604.220868,FIST,FIST,3,413,1414
3,1764351604.7277095,FIST,FIST,3,382,1487
3,1764351605.2357585,FIST,FIST,3,403,1514
3,1764351605.7437003,FIST,FIST,3,364,1554
3,1764351606.2556393,FIST,FIST,3,351,1525
3,1764351606.768503,FIST,FIST,3,396,1476
3,1764351607.2775419,FIST,FIST,3,404,1373
3,1764351607.7880123,FIST,FIST,3,430,1312
3,1764351608.2882383,FIST,FIST,3,432,1267
3,1764351608.8051727,FIST,FIST,3,479,1239
3,1764351609.3326583,FIST,FIST,3,537,1290
3,1764351614.9720092,PALM,PALM,2,373,1585
3,1764351615.489107,PALM,PALM,2,370,1587
3,1764351615.9913845,PALM,PALM,2,373,1529
3,1764351616.5130954,PALM,PALM,2,414,1486
3,1764351617.0233746,PALM,PALM,2,437,1459
3,1764351617.5289068,PALM,PALM,2,433,1404
3,1764351618.0420992,PALM,PALM,2,474,1328
3,1764351618.550044,PALM,PALM,2,526,1230
3,1764351619.064745,PALM,PALM,2,594,1172
3,1764351619.582745,PALM,PALM,2,735,1245
3,1764351620.0965295,PALM,PALM,2,830,1351
3,1764351620.6053116,PALM,PALM,2,862,1439
3,1764351621.119978,PALM,PALM,2,831,1508
3,1764351621.6404796,PALM,PALM,2,727,1524
3,1764351622.1622837,PALM,PALM,2,667,1600
3,1764351622.665714,PALM,PALM,2,746,1623
3,1764351623.1708484,PALM,PALM,2,752,1532
3,1764351623.673283,PALM,PALM,2,743,1411
3,1764351624.1891673,PALM,PALM,2,695,1361
3,1764351624.6995156,PALM,PALM,2,540,1227
3,1764351625.2140112,PALM,PALM,2,452,1196
3,1764351625.7238445,PALM,PALM,2,356,1160
3,1764351626.2288206,PALM,PALM,2,311,1166
3,1764351626.7549958,PALM,PALM,2,331,1189
3,1764351627.265854,PALM,PALM,2,490,1287
3,1764351627.7721803,PALM,PALM,2,514,1315
3,1764351628.2776704,PALM,PALM,2,559,1349
3,1764351628.7812197,PALM,PALM,2,531,1381
3,1764351629.293937,PALM,PALM,2,618,1431
3,1764351629.7991672,PALM,PALM,2,621,1510
3,1764351630.3115306,PALM,PALM,2,564,1555
3,1764351630.832369,PALM,PALM,2,542,1567
3,1764351631.3378232,PALM,PALM,2,597,1540
3,1764351631.8382592,PALM,PALM,2,573,1471
3,1764351632.354686,PALM,PALM,2,548,1406
3,1764351632.856109,PALM,PALM,2,449,1335
3,1764351633.369663,PALM,PALM,2,435,1291
3,1764351633.8806963,PALM,PALM,2,419,1273
3,1764351634.3921313,PALM,PALM,2,598,1248
3,1764351634.900156,PALM,PALM,2,604,1147
3,1764351635.4167414,PALM,PALM,2,573,1115
4,1764351650.337079,,PALM,5,,
4,1764351650.8484688,,PALM,5,,
4,1764351651.3669324,PALM,PALM,2,588,477
4,1764351651.8726058,PALM,PALM,2,600,491
4,1764351652.3908842,PALM,PALM,2,592,500
4,1764351652.910572,PALM,PALM,2,575,483
4,1764351653.4153903,PALM,PALM,2,512,466
4,1764351653.9206176,PALM,PALM,2,416,451
4,1764351654.42551,PALM,PALM,2,443,446
4,1764351654.9300437,PALM,PALM,2,437,479
4,1764351655.4474294,PALM,PALM,2,455,510
4,1764351655.9587703,PALM,PALM,2,560,475
4,1764351656.4682465,PALM,PALM,2,675,437
4,1764351656.9739003,PALM,PALM,2,658,439
4,1764351657.4832268,PALM,PALM,2,505,499
4,1764351658.0140996,PALM,PALM,2,330,532
4,1764351658.5456617,PALM,PALM,2,393,576
4,1764351659.06149,,PALM,5,,
4,1764351659.5894392,,PALM,5,,
4,1764351660.0994794,,PALM,5,,
4,1764351660.6150193,,PALM,5,,
4,1764351661.1209462,,PALM,5,,
4,1764351661.6250377,,PALM,5,,
4,1764351662.1415226,PALM,PALM,2,635,531
4,1764351662.6421666,PALM,PALM,2,541,528
4,1764351663.1650422,PALM,PALM,2,508,516
4,1764351663.690469,PALM,PALM,2,414,497
4,1764351664.2027342,PALM,PALM,2,364,496
4,1764351664.7176647,PALM,PALM,2,300,520
4,1764351665.229714,PALM,PALM,2,314,512
4,1764351665.74529,PALM,PALM,2,324,482
4,1764351666.2533023,PALM,PALM,2,373,464
4,1764351684.8924782,FIST,FIST,3,576,501
4,1764351685.4148166,FIST,FIST,3,589,487
4,1764351685.9336743,FIST,FIST,3,597,444
4,1764351686.4370167,FIST,FIST,3,586,390
4,1764351686.958022,FIST,FIST,3,587,399
